"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"219213_at",-1.64523,8.50682516666667,-13.1469992471561,5.21885807135348e-25,2.31984605732725e-22,46.3103749477143
"208837_at",1.0615035,9.64763975,13.1352680630861,5.56156735364972e-25,2.45224754081289e-22,46.2476890302101
"230560_at",-3.6274755,7.29057058333333,-13.1297694048343,5.72988240148425e-25,2.50625056240921e-22,46.2183029527067
"219761_at",-1.46432816666666,7.15717091666667,-13.1259684067957,5.84920826786574e-25,2.53813858766317e-22,46.1979881269074
"236383_at",-1.96095616666666,6.62807958333333,-13.122277435376,5.96746414558752e-25,2.56906379653542e-22,46.1782602326717
"208789_at",-1.21035116666667,11.31332275,-13.1202577433182,6.03318524264194e-25,2.57706564954256e-22,46.1674647035741
"61297_at",-1.29226883333334,8.47776241666667,-13.0971378301998,6.83926205662114e-25,2.89873374376559e-22,46.0438622294888
"203980_at",-3.74736849999999,9.79546691666667,-13.0867175601434,7.23705253238755e-25,3.04373728621761e-22,45.9881399101762
"204468_s_at",-1.82840783333333,8.71410075,-13.0830617492116,7.38204173805218e-25,3.08101627502292e-22,45.9685884316397
"218723_s_at",-2.05028133333334,12.079671,-13.074714069121,7.72412244273126e-25,3.19936662542675e-22,45.9239405840023
"204482_at",-2.111611,9.663596,-13.0361713309829,9.52163419392518e-25,3.91425074851774e-22,45.7177217855057
"230645_at",-2.29135833333333,7.1528085,-13.0265068245609,1.00346622041025e-24,4.09436683589035e-22,45.6659945096894
"228268_at",-2.54368683333333,10.5968874166667,-13.0182701933645,1.04937128829729e-24,4.24995371760403e-22,45.6219038624802
"206701_x_at",-2.93438933333333,7.77502116666667,-13.0166418309901,1.05869289593143e-24,4.25017235310792e-22,45.6131866182194
"219508_at",2.47473016666666,7.04593825,13.0155529821769,1.06497231344451e-24,4.25017235310792e-22,45.6073574800418
"235306_at",-2.20489666666666,8.771673,-13.0085827168002,1.10606418729083e-24,4.38217822029898e-22,45.5700400612783
"229308_at",-2.31070633333333,6.95662116666667,-13.0032231993056,1.1387381459934e-24,4.47917324692008e-22,45.5413436919684
"204017_at",1.69142183333333,9.29760725,12.9977445617371,1.17313878745434e-24,4.58152594314756e-22,45.5120072104578
"206481_s_at",-2.141649,9.85491516666667,-12.9729087261957,1.34262846280439e-24,5.20625611374682e-22,45.3789894928696
"225369_at",-1.53142866666667,8.95429416666667,-12.9699282532756,1.36455291038952e-24,5.25400918137656e-22,45.3630232409675
"225078_at",-1.86773733333333,11.9092011666667,-12.9656713358137,1.39649080962834e-24,5.33938007107898e-22,45.3402179508379
"228546_at",-1.698975,5.57708916666667,-12.949322444383,1.52627292083585e-24,5.79506749629864e-22,45.2526202343129
"235642_at",-1.47801533333333,5.68261133333333,-12.9367497031302,1.63424806750731e-24,6.1622422821353e-22,45.1852413084681
"1557094_at",-1.59601966666667,6.33033033333333,-12.9325769213879,1.67175084007481e-24,6.26047788911576e-22,45.1628761761461
"243172_at",-1.64315166666667,5.71438916666667,-12.9253015437449,1.73921349323794e-24,6.46880937025745e-22,45.1238786921327
"204273_at",-3.190866,8.65602,-12.9115568084488,1.87420341269037e-24,6.92378862086798e-22,45.0501932061961
"238332_at",-2.52142983333333,8.17090258333333,-12.9037077320229,1.95595218545314e-24,7.17729434494299e-22,45.0081079292809
"229518_at",-1.73376366666666,7.88687133333333,-12.8755487228727,2.2797803359003e-24,8.30979932435659e-22,44.8570865221803
"222885_at",-2.22194616666667,8.98192808333333,-12.8536688489945,2.5680797016907e-24,9.2910159935103e-22,44.7397003108727
"211626_x_at",-1.09738083333333,6.53384858333333,-12.8526072843696,2.58296192229276e-24,9.2910159935103e-22,44.7340040801866
"225373_at",-1.05718266666666,8.92105983333333,-12.8505472601847,2.61208880106235e-24,9.33437615673751e-22,44.7229499953962
"206382_s_at",-1.638902,5.46358483333333,-12.8408688014382,2.75340281201069e-24,9.7129638682934e-22,44.6710112149449
"205326_at",-2.0076975,9.12087008333333,-12.8408582581509,2.7535608588669e-24,9.7129638682934e-22,44.6709546313558
"243805_at",-1.5875085,5.45783508333333,-12.8200519872423,3.08386040647993e-24,1.07394947595089e-21,44.5592758736427
"227307_at",-1.36120783333333,8.10482791666667,-12.8144857473511,3.17877153888509e-24,1.0999957841047e-21,44.5293934118691
"242340_at",-1.82122483333333,6.46483641666667,-12.790726773165,3.61794444055344e-24,1.24409504583182e-21,44.4018175610321
"222717_at",-2.89410016666667,9.59458058333333,-12.756136594964,4.36834322842423e-24,1.49274478758809e-21,44.2160097443149
"227197_at",-2.40493483333333,9.03215358333333,-12.7480388443005,4.56546112785294e-24,1.55041358487801e-21,44.1724987333277
"1552509_a_at",-2.269785,6.65625566666667,-12.7444097756323,4.65667069331349e-24,1.5716263589933e-21,44.1529974267889
"204931_at",-2.62291733333334,8.7915965,-12.7382877083543,4.8146955019758e-24,1.61499065380691e-21,44.120097523687
"235649_at",-2.21697733333334,8.450773,-12.7238965504956,5.20766057195446e-24,1.72562934407036e-21,44.0427491886818
"205003_at",-1.45429016666666,9.87045758333333,-12.6756523821788,6.77508607584043e-24,2.218130725728e-21,43.7833445745372
"221886_at",-1.22800033333333,5.58238983333333,-12.6668545321446,7.10822156044364e-24,2.28612949304268e-21,43.7360218613057
"204579_at",-1.751201,7.8926255,-12.6275422823762,8.80921298540718e-24,2.81662994138677e-21,43.5245004523824
"217897_at",-1.4187385,9.85903091666667,-12.6149887711209,9.43409509200367e-24,2.9988904020657e-21,43.456933523258
"205935_at",-2.011578,8.97776216666667,-12.6131385147629,9.5298794186168e-24,3.01182749834031e-21,43.4469739632509
"1553243_at",-1.239751,7.04035,-12.6101966362636,9.68418585189036e-24,3.04300495087417e-21,43.4311379441588
"208161_s_at",2.13360933333334,9.1096195,12.5479461219377,1.36058998647359e-23,4.25087185773963e-21,43.0959102580049
"1558397_at",-1.884348,7.97037366666667,-12.5383120479448,1.43413449808428e-23,4.4551877092476e-21,43.0440065422588
"226397_s_at",-1.342703,8.42229966666667,-12.5249103400579,1.54311297445637e-23,4.76664982363853e-21,42.9717945674157
"230250_at",-2.53984383333333,9.72817491666667,-12.5221844092223,1.56627529320429e-23,4.81101694696319e-21,42.957105095982
"215380_s_at",1.16968950000001,10.67409875,12.5015931902829,1.75287429219782e-23,5.35410066625228e-21,42.8461277962623
"217628_at",-2.31135433333333,6.720214,-12.4879379456464,1.88874834676027e-23,5.73707310328431e-21,42.7725172041377
"202747_s_at",-1.51531466666667,10.1452421666667,-12.4740434585542,2.03784267466711e-23,6.15574852140466e-21,42.6976047215382
"228770_at",-1.64063266666667,7.43583216666667,-12.4694509178262,2.08967205453752e-23,6.27762744955157e-21,42.6728412239172
"238151_at",-1.47748666666667,7.38191133333333,-12.4553577253616,2.25711452138515e-23,6.74359215610564e-21,42.5968408180433
"208056_s_at",-1.15608416666666,6.64497691666667,-12.4529809719112,2.28664950747696e-23,6.75797631466503e-21,42.5840224587629
"224448_s_at",1.22481233333333,9.4409755,12.4459440476015,2.37638488873464e-23,6.98542170922402e-21,42.5460686839961
"228618_at",-1.53081816666667,7.17447875,-12.4441489340136,2.3998358183265e-23,7.01663226561505e-21,42.536386210669
"226456_at",1.53165333333333,7.34490933333333,12.4366970281323,2.49969107739958e-23,7.23728433126793e-21,42.496190010504
"236081_at",-1.05709083333333,4.64210225,-12.4333962597482,2.54524168145082e-23,7.32426783859599e-21,42.4783842844797
"239952_at",-1.404202,6.45222233333333,-12.4160725426989,2.79830592670637e-23,8.01033385040162e-21,42.3849218127221
"207195_at",-1.35273383333333,6.01257108333333,-12.4140092506387,2.83007988760586e-23,8.05909467994012e-21,42.3737889934833
